ข้อมูลสถานี TP01,,,,,,,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,,,,,,,
time,pH,DO (mg/l),BOD (mg/l),TCB (MPN/100mL),FCB (MPN/100mL),TP (mg/l),NO3-N (mg/l),NO2-N (mg/l),NH3-N (mg/l),TKN (mg/l),WQI,SS (mg/l),TS (mg/l),TDS (mg/l),WT (°C),AT (°C),EC (µS/cm),Tur (NTU)
21/02/2554 16:10,8.1,3.2,1.9,630,630,0.05,,,0.1,,65,11,"13,500","13,489",30.6,29.2,"9,800.00",10
23/05/2554 10:00,8.6,4.6,1.2,"11,000","7,000",0.14,<0.10,<0.01,0.03,,58,68,"1,048",980,30.2,31.8,"1,920.00",20
08/08/2554 9:50,7.7,6.2,2,"35,000","16,000",0.13,0.18,0.01,<0.05,,59,62,"1,540","1,478",30.6,31.2,6,15
14/12/2554 9:20,7.5,5.7,1.3,"9,200","3,500",0.07,0.24,<0.01,0.08,,63,30,955,925,26.5,28.4,510,18
21/05/2555 14:40,6,6.2,1,"54,000","22,000",0.06,1,<0.01,<0.05,,57,14,890,876,32.6,33.5,1263*,18
03/09/2555 14:30,7.2,5,1,"9,200","1,700",0.03,5.8,0.01,,,67,13,"3,000","2,987",31.3,33.8,4480*,34
11/12/2555 16:40,6.5,4.6,1.7,"54,000","54,000",0.1,2,0.03,<0.05,,55,21,"11,356","11,335",26,28.6,"1,700.00",10
06/02/2557 15:15,7.9,5.2,1.4,"3,500",140,0.34,5.54,0.05,<0.05,,82,14,"10,820","10,809",28.8,32.6,,
29/05/2557 16:00,7.5,2.8,1.4,"11,000","5,400",0.07,6.63,0.15,<0.05,,57,136,"7,360","7,224",31,33.1,"11,000.00",25
07/08/2557 8:40,6.9,6.9,1.8,"16,000","5,400",0.03,0.01,0.05,<0.05,,58,24,"1,050","1,026",27.9,27.9,"14,700.00",40
25/12/2557 15:10,8,4.6,1.2,"5,400","1,700",0.04,0.67,0.03,<0.05,,65,47,288,241,25.5,26,94,15
19/02/2558 15:55,8.1,5.8,1,"2,400",490,0.16,4.08,<0.01,<0.05,,83,<10,"12,310","12,302",27.4,24.9,"19,900.00",16
21/05/2558 15:20,7.2,4.6,0.8,"35,000","11,000",0.28,0.18,0.11,<0.05,,57,26,556,530,32.4,37.8,769,70
19/08/2558 9:20,7.8,4.7,0.4,"35,000","2,800",0.11,0.12,0.15,<0.05,,60,53,181,178,30,35.5,147,83
24/12/2558 15:20,7.4,5.9,1.5,"7,000","1,300",<0.01,0.42,0.14,<0.05,,65,40,"2,055","2,015",30,33.8,"3,120.00",77
18/02/2559 15:30,8,6,1.1,"2,400","1,300",<0.01,<0.01,<0.01,<0.05,,70,<10,"16,680","16,671",30.4,33.7,"36,200.00",38
08/04/2559 15:35,7.7,4.5,0.7,"35,000","16,000",0.07,0.26,0.02,<0.05,,57,35,202,167,29.1,30.9,"1,220.00",60
01/12/2559 16:00,7.8,7.6,2.4,"16,000","9,200",0.02,<0.002,0.04,<0.05,,58,85,"5,860","5,775",27.5,29.1,"10,200.00",158
05/12/2559 14:45,8.5,5.1,3.7,"2,200",940,0.07,0.04,0.01,<0.05,,56,40,"22,330","22,290",33.9,38.8,"36,200.00",80
09/02/2560 15:35,7.5,6.7,1.9,"17,000","1,700",0.01,<0.002,<0.01,<0.05,,64,40,750,710,28.3,37.2,"1,760.00",56
25/05/2560 15:35,7.4,4.8,0.9,"17,000","11,000",0.06,0.29,0.02,<0.05,,58,45,263,218,30.6,33.8,335,138
20/07/2560 15:50,8.2,6.8,0.6,"35,000","17,000",0.07,0.33,<0.01,<0.05,,61,14,358,344,30.3,31.3,604,56
09/11/2560 16:00,7.1,5.9,2.8,"16,000","5,400",0.09,0.27,0.02,0.16,,55,15,"2,090","2,075",28.1,30,"3,890.00",52
15/02/2561 15:05,7.5,6.8,1.4,"2,400","1,300",0.07,0.15,0.02,0.1,,69,13,"17,210","17,197",27.6,28,"24,000.00",29
10/05/2561 16:05,7.5,5.2,1,"11,000","2,100",0.08,0.58,0.02,0.13,,63,23,"7,435","7,412",31.3,33.2,"10,770.00",81
12/07/2561 16:00,7.3,6.1,1.4,"17,000","9,200",<0.05,0.06,0.02,0.17,,59,64,177,113,27.2,30.7,165,229
22/11/2561 15:30,7.5,6.1,1.4,"5,400","3,500",0.07,0.39,0.01,0.16,,62,12,"4,860","4,848",25.3,26.5,"7,581.00",15
14/02/2562 16:00,7.1,6.7,2.2,"2,200",700,0.06,0.17,0.01,<0.1,,63,15,"12,200","12,185",29.5,34.5,"14,350.00",12
16/05/2562 16:00,7.4,6.2,0.8,"17,000","16,000",0.06,0.2,0.02,0.27,,60,<10,"6,510","6,501",30.8,32.5,"9,732.00",5
05/08/2562 16:00,7.2,6.7,0.7,"3,500","1,700",0.07,0.27,0.01,0.16,,69,67,"10,580","10,513",29.4,33,"15,400.00",98
09/01/2563 7:50,7.5,6.1,1.8,790,220,0.06,0.18,<0.01,0.5,,68,20,"17,480","17,460",26.9,27,"23,950.00",15
17/02/2563 7:40,7.8,5.6,1.2,490,330,0.17,0.11,<0.01,<0.5,,69,41,"21,220","21,179",28,25,"26,700.00",29
09/06/2563 7:25,7.7,5.3,1.2,"3,500","2,400",0.07,0.31,0.03,<0.06,,67,58,"10,840","10,782",28,26,"14,960.00",43
21/07/2563 8:55,7.4,4.8,1.4,"24,000","24,000",0.13,0.34,<0.01,<0.06,,59,250,"5,270","5,020",29.5,30,"11,100.00",145
02/12/2563 17:05,7.2,5.1,0.9,"22,000","4,300",0.12,0.13,0.02,<0.06,,58,64,727,663,25,23,"1,113.00",98
16/02/2564 9:10,6.9,5.3,1.4,"3,500",700,0.36,0.04,<0.01,<0.06,,79,13,"13,150","13,137",27.6,24,"19,080",7
18/05/2564 8:41,7.5,4,0.8,"5,400","2,200",<0.05,0.16,0.02,<0.06,,65,47,"9,450","9,403",31.4,26,"13,950",26
13/07/2564 7:42,7.2,5.9,0.3,"9,200","3,500",0.05,0.5,0.01,<0.06,,68,62,"3,907","3,845",27.2,24.5,"6,290",74
23/11/2564 7:00,6.8,4.5,0.8,"11,000","3,500",0.13,0.15,<0.01,<0.06,,64,12,126,114,27,24.5,191,28
